Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
A T N International Ltd.,5682.55,28-03-2013,9.86,-0.32,,0.1,6704.2,31-03-2014,5.92,-0.25,,0.12,8491,31-03-2015,7.89,-0.01,,0.16,7738.4,31-03-2016,15.78,-0.13,,0.35,9045.2,27-03-2017,11.83,-0.15,,0.3,9511.4,27-06-2017,7.89,-0.18,,,11354.25,25-03-2019,1.97,-0.1,,,8597.75,31-03-2020,3.94,-0.07,,,14281.2,01-02-2021,7.89,-1.32,,,15863.15,07-03-2022,7.89,-0.11,,,17069.1,02-05-2022,7.89,-0.09,,
A U Small Finance Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,176579.12,33.5,18.45,4.35,11623.9,29-03-2019,174128.12,11.88,50.15,6.15,8597.75,31-03-2020,153688.72,22.22,22.74,3.51,14690.7,31-03-2021,383351.21,36.36,33.77,6.11,17464.75,31-03-2022,392444.16,35.9,34.72,5.22,17359.75,31-03-2023,386178.74,20,28.96,3.52
A V G Logistics Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,823.84,6.79,11.79,2.3,8317.85,25-03-2020,308.94,9.67,3.1,0.43,14845.1,30-03-2021,547.55,0.87,53.68,0.68,16594.9,10-03-2022,1000.9,-1.04,,1.28,17107.5,21-03-2023,1989.43,4.53,37.33,2.2
A V S L Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9108,24-03-2017,178.59,0.51,66.15,1.56,10500.9,14-02-2018,151.94,3.3,8.63,1.16,11354.25,25-03-2019,181.26,5.08,6.69,1.16,11132.75,02-03-2020,191.92,4.5,8,1.07,14982,24-02-2021,179.13,9.7,3.46,0.78,17117.6,21-03-2022,207.65,12.29,3.17,0.7,16951.7,28-03-2023,773.01,6.02,24.08,2.36
A V T Natural Products Ltd.,5682.55,28-03-2013,1956.85,6.6,3.89,1.5,6704.2,31-03-2014,3228.42,3.33,6.37,1.87,8491,31-03-2015,4088.83,1.92,14.02,2.11,7738.4,31-03-2016,4256.34,1.52,18.36,2.03,9173.75,31-03-2017,5969.53,1.83,21.38,2.53,10113.7,28-03-2018,5581.21,1.35,27.24,2.26,11623.9,29-03-2019,4058.37,1.2,22.24,1.59,8597.75,31-03-2020,3601.52,2.48,9.53,1.25,14690.7,31-03-2021,6852.78,2.77,16.23,2.13,17464.75,31-03-2022,19865.45,4.65,28.03,5.23,17359.75,31-03-2023,12091.35,4.93,16.12,2.75
A Y M Syntex Ltd.,,,,,,,,,,,,,,,,,,,7738.4,31-03-2016,3823.9,12.18,8,1.97,9173.75,31-03-2017,3103.85,10.44,7.57,1.32,10113.7,28-03-2018,2767.29,3.08,19.72,0.97,11623.9,29-03-2019,1634.39,1.34,26.71,0.56,8597.75,31-03-2020,787.11,4.5,3.5,0.23,14690.7,31-03-2021,2324.14,3.31,14.03,0.65,17464.75,31-03-2022,5637.27,10.55,10.65,1.38,17359.75,31-03-2023,3071.55,1.42,42.84,0.74
Aakash Exploration Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11445.05,27-03-2019,121.5,2.04,8.8,0.41,8660.25,27-03-2020,335.64,4.97,6.67,0.91,14690.7,31-03-2021,1316.25,4.1,31.72,3.17,17464.75,31-03-2022,2516.06,0.6,41.11,5.27,17359.75,31-03-2023,602.44,0.45,13.27,1.15
Aarey Drugs & Pharmaceuticals Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,1052.2,2.97,13.97,0.95,17359.75,31-03-2023,609.23,1.68,14.27,0.53
Aaron Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,229.1,2.97,16.13,2.6,7801.05,24-03-2020,216.23,2.07,19.84,2.15,14690.7,31-03-2021,574.51,1.93,29.61,4.72,17464.75,31-03-2022,1139.48,3.69,30.71,7.17,17359.75,31-03-2023,1841.56,5.38,34.1,8.99
Aarti Drugs Ltd.,5682.55,28-03-2013,1743.03,33.65,4.28,0.87,6704.2,31-03-2014,3180.31,48.18,5.45,1.27,8491,31-03-2015,15739.9,31.41,20.69,5.18,7738.4,31-03-2016,10952.18,25.92,17.45,3.13,9173.75,31-03-2017,13739.3,29.89,19.26,3.55,10113.7,28-03-2018,11932.54,29.77,17,2.89,11623.9,29-03-2019,15028.87,35.77,17.82,3.05,8597.75,31-03-2020,11703.59,57.76,8.7,1.88,14690.7,31-03-2021,64708.76,27.3,25.43,7.53,17464.75,31-03-2022,39734.66,21.06,20.38,4.09,17359.75,31-03-2023,31275.65,16.5,20.47,2.8
