Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
Univastu India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,426.74,2.31,32.58,3.36,11462.2,18-03-2019,460.27,5.17,15.66,2.89,8281.1,30-03-2020,414.24,3.52,10.36,1.86,14690.7,31-03-2021,431.85,8.35,4.55,1.31,17464.75,31-03-2022,964.85,4.59,18.48,2.52,17359.75,31-03-2023,974.51,5.8,14.79,2.17
Universal Cables Ltd.,5682.55,28-03-2013,727.45,1.39,22.59,0.38,6704.2,31-03-2014,596.76,-18.78,,0.41,8491,31-03-2015,898.61,-15.57,,0.82,7738.4,31-03-2016,2511.95,3.79,19.09,1.35,9173.75,31-03-2017,3502.5,5.96,16.93,1.22,10113.7,28-03-2018,4531.22,7.66,17.04,1.46,11623.9,29-03-2019,7638.19,18.4,11.96,2.02,8597.75,31-03-2020,2919.62,18.41,4.57,0.66,14690.7,31-03-2021,4732.45,3.35,40.66,0.97,17464.75,31-03-2022,4796.64,7.63,18.11,0.85,17359.75,31-03-2023,12441.76,18.09,19.83,1.76
Universus Photo Imagings Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597.75,31-03-2020,576.34,14.75,3.57,0.39,14690.7,31-03-2021,1735.04,12.96,12.23,1.07,17464.75,31-03-2022,6010.78,361.55,1.52,1.07,17359.75,31-03-2023,3986.21,31.98,11.39,0.68
Uno Minda Ltd.,5682.55,28-03-2013,2469.44,23.22,6.7,0.81,6704.2,31-03-2014,2997.76,14.13,13.37,0.91,8491,31-03-2015,9052.77,18.29,31.21,2.45,7738.4,31-03-2016,15904.23,45.69,21.94,3.66,9173.75,31-03-2017,35252.82,11.42,38.91,6.68,10113.7,28-03-2018,92485.05,12.85,83,10.09,11623.9,29-03-2019,85587.62,5.2,62.82,8.41,8597.75,31-03-2020,63036.96,4.69,51.28,4.69,14690.7,31-03-2021,147412.55,4.53,119.6,8.98,17464.75,31-03-2022,266283.94,6.84,136.36,10.05,17359.75,31-03-2023,275619.6,7.14,67.34,8.86
Upper Ganges Sugar & Inds. Ltd. [Merged],5682.55,28-03-2013,439.18,2.55,14.89,0.81,6704.2,31-03-2014,323.6,-19.68,,0.58,8491,31-03-2015,427.62,-48.99,,,7738.4,31-03-2016,1254.54,1.11,98.01,13.43,9030.45,22-03-2017,4365.17,91.2,4.14,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upsurge Seeds Of Agriculture Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,3399.29,6.74,71.41,8.77
Uravi T & Wedge Lamps Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11483.25,26-03-2019,572.82,1.38,75.37,2.89,7801.05,24-03-2020,550.55,0.25,393.25,2.46,14557.85,18-03-2021,803,-4.02,,3.73,17325.3,29-03-2022,687.5,1.51,82.83,3.07,16951.7,28-03-2023,1235.85,1.35,83.5,5.18
Urja Global Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,735.45,0.02,72.82,0.6,10113.7,28-03-2018,2510.67,0.02,288.58,2.03,11623.9,29-03-2019,1394.82,0.03,104.87,1.12,8597.75,31-03-2020,507.21,0.03,31.5,0.4,14690.7,31-03-2021,3649.7,0.03,214.69,2.64,17464.75,31-03-2022,9639.66,0.01,1460.56,6.68,17359.75,31-03-2023,3816.86,0.02,284.84,2.62
Usha Martin Education & Solutions Ltd.,5682.55,28-03-2013,173.02,0.03,247.18,0.9,6704.2,31-03-2014,76.61,-0.15,,0.37,8491,31-03-2015,76.61,-0.55,,0.39,7597,29-03-2016,63.4,-0.91,,0.37,9173.75,30-03-2017,64.72,-0.6,,0.42,10113.7,28-03-2018,27.74,-0.16,,0.21,11623.9,29-03-2019,34.34,0.05,26.42,0.26,8641.45,26-03-2020,23.77,-0.02,,0.18,14690.7,31-03-2021,89.81,-0.02,,0.67,17464.75,31-03-2022,108.3,0,,0.8,17359.75,31-03-2023,83.21,-0.02,,0.61
Usha Martin Ltd.,5682.55,28-03-2013,6719.56,-4.39,,0.44,6704.2,31-03-2014,10711.67,-0.69,,0.7,8491,31-03-2015,7009.06,-9.73,,0.59,7738.4,31-03-2016,3504.53,-14.16,,0.45,9173.75,31-03-2017,5317.74,-13.31,,1.36,10113.7,28-03-2018,5576.77,-14.44,,5.78,11623.9,29-03-2019,12342.04,12.66,3.2,11,8597.75,31-03-2020,4875.87,-3.08,,0.88,14690.7,31-03-2021,10071.72,3.28,10.06,1.55,17464.75,31-03-2022,40987.77,6.58,20.43,4.42,17359.75,31-03-2023,65367.11,6.54,32.82,6.05
Ushanti Colour Chem Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,457.09,3.89,16.09,2.04,8597.75,31-03-2020,174.51,3.27,7.3,0.7,14690.7,31-03-2021,262.13,3.33,10.79,0.96,17464.75,31-03-2022,408.9,2.04,27.44,1.42,17359.75,31-03-2023,697.94,1.75,38.77,1.46
Usher Agro Ltd.,5682.55,28-03-2013,1969.56,12.22,4.24,0.66,6704.2,31-03-2014,1276.88,13.45,2.49,0.36,8491,31-03-2015,1647.96,14.58,2.97,0.4,7738.4,31-03-2016,1244.53,-78.34,,1.1,9173.75,31-03-2017,761.18,-53.95,,,10113.7,28-03-2018,302.92,-3.79,,,11623.9,29-03-2019,112.62,-155.32,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttam Sugar Mills Ltd.,5682.55,28-03-2013,631.19,-5.06,,1.44,6704.2,31-03-2014,522.49,-21.39,,11.12,8491,31-03-2015,434.77,-19.45,,,7738.4,31-03-2016,1174.65,-2.02,,,9173.75,31-03-2017,3895.81,29.26,3.49,2.45,10113.7,28-03-2018,3748.98,28.47,3.45,1.83,11623.9,29-03-2019,5060.93,-0.42,,2.44,8597.75,31-03-2020,1964.11,13.73,3.75,0.69,14690.7,31-03-2021,3470.57,11.98,7.6,1.12,17464.75,31-03-2022,8285.51,34.47,6.3,1.84,17359.75,31-03-2023,8821.35,32.36,7.15,1.55
Uttam Value Steels Ltd.,5682.55,28-03-2013,12064.64,-0.45,,2.78,6704.2,31-03-2014,7943.55,-0.83,,3.48,8491,31-03-2015,5947.27,-0.25,,2.01,7716.5,23-03-2016,5022.14,-3.6,,,9173.75,31-03-2017,4625.65,-0.77,,,10113.7,28-03-2018,1321.62,-0.82,,,11623.9,29-03-2019,660.81,-0.32,,,8597.75,31-03-2020,660.81,-0.54,,,12859.05,20-11-2020,1321.62,-0.58,,,,,,,,,,,,,,
V 2 Retail Ltd.,5682.55,28-03-2013,191.51,-1.39,,0.07,6704.2,31-03-2014,343.82,-2.2,,0.13,8491,31-03-2015,762.74,4.13,7.84,0.28,7738.4,31-03-2016,1195.85,3.35,14.36,0.42,9173.75,31-03-2017,5890.77,5.08,37.5,3.77,10113.7,28-03-2018,14184.77,7.77,53.81,7.34,11623.9,29-03-2019,9801.39,13.69,21.01,3.38,8597.75,31-03-2020,1758.11,-0.7,,0.63,14690.7,31-03-2021,4292.12,-6.38,,1.58,17464.75,31-03-2022,5038.04,-6.42,,1.94,17359.75,31-03-2023,2396.94,-4.24,,0.98
V A Tech Wabag Ltd.,5682.55,28-03-2013,13272.89,33.72,14.83,2.63,6704.2,31-03-2014,20816.32,33.3,23.51,3.45,8491,31-03-2015,44494.79,16.72,49.03,6.48,7738.4,31-03-2016,28248.21,15.71,32.98,3.64,9173.75,31-03-2017,37183.35,25.46,26.76,4.51,10113.7,28-03-2018,26806.72,21.76,22.54,2.93,11623.9,29-03-2019,17998.62,16.43,20.03,1.88,8597.75,31-03-2020,4503.76,2.69,30.64,0.46,14690.7,31-03-2021,15600.47,11.42,21.97,1.34,17464.75,31-03-2022,17438.2,17.21,16.3,1.38,17359.75,31-03-2023,21884.81,1,350.72,1.73
V I P Clothing Ltd.,5682.55,28-03-2013,876.77,0.95,14.66,0.97,6704.2,31-03-2014,949.31,0.87,17.23,1.04,8491,31-03-2015,4330.25,1.13,60.65,4.7,7738.4,31-03-2016,2900.79,-2.35,,3.11,9173.75,31-03-2017,3353.42,0.23,225.06,2.15,10113.7,28-03-2018,4567.59,0.32,171.71,2.3,11623.9,29-03-2019,1705.62,-0.78,,0.9,8597.75,31-03-2020,338.65,-2.74,,0.25,14690.7,31-03-2021,1160.48,-0.16,,0.86,17464.75,31-03-2022,1932.76,-0.48,,1.45,17359.75,31-03-2023,3312.12,0.02,2208.08,2.37
V I P Industries Ltd.,5682.55,28-03-2013,8592.09,0.33,182.42,3.21,6704.2,31-03-2014,14795.92,3.76,27.84,5.14,8491,31-03-2015,13156.64,2.86,32.53,4.29,7738.4,31-03-2016,14866.58,4.47,23.54,4.42,9173.75,31-03-2017,27966.7,5.37,36.88,7.02,10113.7,28-03-2018,45030.76,7.15,44.57,9.57,11623.9,29-03-2019,68305.72,10.11,47.83,12.72,8597.75,31-03-2020,33937.35,9.31,25.81,6.2,14690.7,31-03-2021,50047.53,-8.03,,10.68,17464.75,31-03-2022,105489.67,2.99,248.97,20.88,17359.75,31-03-2023,81125.95,9.87,58.03,13.36
V K S Projects Ltd.,5682.55,28-03-2013,3285,0.26,68.87,4.26,6704.2,31-03-2014,283.5,-0.08,,0.4,8491,31-03-2015,126,-0.01,,0.18,7738.4,31-03-2016,63,-1.73,,,9173.75,31-03-2017,63,-0.76,,,10358.85,05-03-2018,31.5,-0.76,,,10211.8,02-04-2018,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
V L S Finance Ltd.,5682.55,28-03-2013,384.02,0.73,13.2,0.19,6704.2,31-03-2014,512.27,0.82,16.11,0.25,8491,31-03-2015,1339.64,1.62,21.4,0.64,7738.4,31-03-2016,1196.59,0.88,35.09,0.55,9173.75,31-03-2017,2393.18,10.02,6.18,0.96,10113.7,28-03-2018,2565.22,4.63,14.34,0.98,11623.9,29-03-2019,2263.66,0.22,263.22,0.89,8597.75,31-03-2020,1246.85,8.41,3.83,0.14,14690.7,31-03-2021,3150.95,55.84,1.46,0.23,17464.75,31-03-2022,6170.46,65.63,2.43,0.36,17359.75,31-03-2023,5220.76,14.72,10.07,0.31
V R L Logistics Ltd.,,,,,,,,,,,,,,,,,,,7738.4,31-03-2016,33650.6,11.43,32.27,6.55,9173.75,31-03-2017,28490.78,8.1,38.54,5.26,10113.7,28-03-2018,34782.25,10.23,37.65,5.96,11623.9,29-03-2019,25585.28,8.88,31.91,4.04,8597.75,31-03-2020,13949.04,10.47,14.75,2.26,14690.7,31-03-2021,20500.11,5.02,46.21,3.43,17464.75,31-03-2022,43668.19,16.94,29.18,6.7,17359.75,31-03-2023,55886.09,18.42,34.34,5.73
V S T Industries Ltd.,5682.55,28-03-2013,23409.18,78.86,19.22,6.19,6704.2,31-03-2014,25416.63,86.97,18.93,7.83,8491,31-03-2015,24265.43,98.56,15.94,7.05,7738.4,31-03-2016,25561.78,101.59,16.29,6.95,9173.75,31-03-2017,44295.15,99.54,28.82,8.22,10113.7,28-03-2018,45334.39,110.94,26.46,6.74,11623.9,29-03-2019,53351.83,141.19,24.47,8.39,8597.75,31-03-2020,42804.23,196.77,14.09,5.44,14690.7,31-03-2021,52334.21,197.64,17.15,5.56,17464.75,31-03-2022,47332.57,202.51,15.14,4.41,17359.75,31-03-2023,48573.33,200.36,15.7,4.12
V S T Tillers Tractors Ltd.,5682.55,28-03-2013,3130.53,54.91,6.6,1.32,6704.2,31-03-2014,8084.87,94.72,9.88,2.6,8491,31-03-2015,10790.77,72.65,17.19,2.97,7738.4,31-03-2016,12862.53,77.13,19.3,3.07,9173.75,31-03-2017,15512.7,86.59,20.74,3.1,10113.7,28-03-2018,21717.18,109.87,22.88,3.76,11623.9,29-03-2019,11354.07,75.02,17.52,1.93,8597.75,31-03-2020,5775.09,3.62,184.51,1,14690.7,31-03-2021,15490.24,92.83,19.31,2.32,17464.75,31-03-2022,20740.91,106.06,22.64,2.77,17359.75,31-03-2023,19649.31,104.38,21.79,2.38
V T M Ltd.,5682.55,28-03-2013,639.62,3.04,5.23,0.62,6704.2,31-03-2014,625.54,2.72,5.72,0.55,8952.35,29-01-2015,947.36,2.14,11.02,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V T X Industries Ltd.,5633.85,25-03-2013,146.26,-3.45,,0.13,6704.2,31-03-2014,78.13,-128.92,,,8914.3,28-01-2015,64.5,-132.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-Guard Industries Ltd.,5682.55,28-03-2013,13067.24,24.53,17.84,4.94,6704.2,31-03-2014,13935.81,23.55,19.83,4.38,8491,31-03-2015,27374.47,23.7,38.53,7.25,7738.4,31-03-2016,26488.55,37.53,23.46,5.63,9173.75,31-03-2017,73635.08,3.44,50.35,11.61,10113.7,28-03-2018,94585.13,3.44,64.68,12.74,11623.9,29-03-2019,94928.8,3.17,70.16,11.4,8597.75,31-03-2020,66448.81,4.28,36.21,6.69,14690.7,31-03-2021,108558.06,4.72,53.43,8.99,17464.75,31-03-2022,93126.75,5.08,42.48,6.64,17359.75,31-03-2023,108065.22,3.91,64.03,6.92
V-Marc India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,857.88,2.19,17.19,1.24,17359.75,31-03-2023,906.87,4.59,8.68,1.14
V-Mart Retail Ltd.,5682.55,28-03-2013,3038.63,10.5,16.12,,6704.2,31-03-2014,5138.01,14.06,20.35,3.02,8491,31-03-2015,10232.01,20.95,27.11,4.99,7738.4,31-03-2016,8494.06,14.44,32.57,3.68,9173.75,31-03-2017,14899,23.43,35.2,5.52,10113.7,28-03-2018,34380.45,37.5,50.66,10.36,11623.9,29-03-2019,48846.73,41.59,64.78,12.02,8597.75,31-03-2020,25805.3,26.9,52.84,5.56,14690.7,31-03-2021,54891.46,-11.2,,6.65,17464.75,31-03-2022,78332.26,6.6,600.71,9.22,17359.75,31-03-2023,42754,-5.01,,5.04
Vadilal Industries Ltd.,5682.55,28-03-2013,1275.48,11.39,15.57,2.25,6704.2,31-03-2014,1101.53,0.88,174.85,2.08,8491,31-03-2015,1925.26,0.14,1925.26,3.54,7738.4,31-03-2016,4568.23,19.57,32.47,6.72,9173.75,31-03-2017,6991.6,21.58,45.08,8.3,10113.7,28-03-2018,6079.83,-1.22,,6.28,11623.9,29-03-2019,4371.28,54.04,11.25,3.32,8597.75,31-03-2020,3228.05,43.21,10.39,2.04,14690.7,31-03-2021,6437.78,-34.56,,4.79,17464.75,31-03-2022,10133.4,12.12,116.34,7.03,17359.75,31-03-2023,15785.55,99.75,22.02,7.38
Vadivarhe Speciality Chemicals Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,1082.06,3.27,25.89,3.13,11570,28-03-2019,472.96,1.24,29.75,1.66,8281.1,30-03-2020,82.45,-8.27,,0.49,14507.3,26-03-2021,161.06,-1.64,,1.03,17325.3,29-03-2022,319.57,-6.09,,4.01,17080.7,29-03-2023,352.16,-4.24,,6.46
Vaibhav Global Ltd.,5682.55,28-03-2013,3597.6,4.26,26.32,1.02,6704.2,31-03-2014,20637.44,-0.28,,4.76,8491,31-03-2015,25949.45,9.24,86.67,5.72,7738.4,31-03-2016,10414.6,5.53,57.92,2.19,9173.75,31-03-2017,12546.34,6.37,60.55,2.47,10113.7,28-03-2018,22458.36,11.45,60.16,4.19,11623.9,29-03-2019,20961.85,7.85,81.69,3.81,8597.75,31-03-2020,24911.13,39.43,19.55,4.61,14690.7,31-03-2021,125008.33,14.39,266.94,23.61,17464.75,31-03-2022,61325.4,7.79,47.97,10.52,17359.75,31-03-2023,45024.5,6.05,45.07,7.36
Vaidya Sane Ayurved Laboratories Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,2050.12,3.31,58.91,5.71,17359.75,31-03-2023,2470.66,4.94,47.6,6.05
Vaishali Pharma Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,403.06,0.74,82.26,1.97,11445.05,27-03-2019,286.73,1.46,29.87,1.37,8597.75,31-03-2020,422.38,0.03,1407.92,1.98,14690.7,31-03-2021,343.81,1,32.74,1.53,17464.75,31-03-2022,697.63,4.07,16.26,2.65,17359.75,31-03-2023,1538.69,6.33,23.03,4.67
Vakrangee Ltd.,5682.55,28-03-2013,33667.45,1.93,34.66,6.84,6704.2,31-03-2014,50222.35,3.97,25.13,7.15,8491,31-03-2015,51732.8,6.36,16.15,5.27,7738.4,31-03-2016,104860.22,7.36,26.93,6.5,9173.75,31-03-2017,174091,9.76,33.7,8.45,10113.7,28-03-2018,234366.06,6.9,32.08,8.84,11623.9,29-03-2019,53257.8,0.72,69.38,2.07,8597.75,31-03-2020,21082.17,0.5,39.77,0.81,14690.7,31-03-2021,59379.69,0.39,145.04,2.26,17464.75,31-03-2022,36764.64,-0.25,,45.53,17359.75,31-03-2023,16952.21,0,,22.27
Valecha Engineering Ltd.,5682.55,28-03-2013,884.71,13.06,3.47,0.29,6704.2,31-03-2014,743.12,9.6,3.96,0.23,8491,31-03-2015,1746.96,-27.43,,0.67,7738.4,31-03-2016,652.24,-80.42,,0.58,9045.2,27-03-2017,398.78,-64.94,,0.44,9657.55,19-06-2017,432.58,-33.44,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valiant Organics Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14690.7,31-03-2021,35080.95,36.7,35.21,6.99,17464.75,31-03-2022,25005.65,35.73,25.77,4.15,17359.75,31-03-2023,11318.93,26.47,15.75,1.7
Value Industries Ltd.,5682.55,28-03-2013,307.61,-16.94,,0.08,6704.2,31-03-2014,268.42,-16.1,,0.09,8491,31-03-2015,350.71,-9.59,,0.13,7738.4,31-03-2016,474.15,-8.26,,0.19,9173.75,31-03-2017,470.23,-15.43,,0.12,10184.15,27-03-2018,213.56,-66.85,,0.16,11582.35,03-09-2018,148.91,-153.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Varanium Cloud Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,6905.34,85.02,8.08,4.89
Vardhman Acrylics Ltd.,5682.55,28-03-2013,1174.73,3.26,3.84,0.46,6704.2,31-03-2014,1478.82,4.64,3.43,0.49,8491,31-03-2015,2208.94,3.47,6.85,0.69,7738.4,31-03-2016,3041.36,4.34,7.53,0.96,9173.75,31-03-2017,4335.62,4.91,11,1.47,10113.7,28-03-2018,3821.3,4.29,11.09,1.17,11623.9,29-03-2019,3198.48,3.9,10.21,0.98,8597.75,31-03-2020,2149.73,4.88,5.48,0.6,14690.7,31-03-2021,2945.33,5.29,6.93,0.74,17464.75,31-03-2022,4319.55,1.72,31.17,2.03,17359.75,31-03-2023,3495.82,4.09,10.64,1.43
Vardhman Holdings Ltd.,5641.6,26-03-2013,1474.49,6.61,69.88,0.79,6641.75,27-03-2014,1547.89,55.93,8.67,0.76,8491,31-03-2015,2403.07,94.88,7.94,1.04,7738.4,31-03-2016,2872.38,151.06,5.96,1.03,9173.75,31-03-2017,9125.56,567.6,5.04,1.99,10113.7,28-03-2018,12011.98,674.57,5.58,2.38,11623.9,29-03-2019,6656.27,75.17,27.75,1.07,8597.75,31-03-2020,2989.83,104.34,8.98,0.5,14690.7,31-03-2021,5612.64,47.16,37.29,0.84,17464.75,31-03-2022,11590.22,261.19,13.9,1.46,17359.75,31-03-2023,8171.93,21.62,118.43,1.02
Vardhman Polytex Ltd.,5682.55,28-03-2013,1074.47,-42.99,,1.2,6704.2,31-03-2014,655.97,1.34,24.66,0.55,8491,31-03-2015,851.51,-17.93,,0.66,7738.4,31-03-2016,843.71,-11.09,,0.79,9173.75,31-03-2017,1523.59,-1.02,,1.42,10113.7,28-03-2018,397.89,-43.78,,,11623.9,29-03-2019,202.85,-131.86,,,8597.75,31-03-2020,74.67,-33.09,,,14690.7,31-03-2021,382.29,-25.43,,,17464.75,31-03-2022,537.21,-7.12,,,17359.75,31-03-2023,547.24,-42.9,,
Vardhman Special Steels Ltd.,5682.55,28-03-2013,477.8,3.67,7.02,0.25,6704.2,31-03-2014,365.54,-7.02,,0.2,8491,31-03-2015,602.12,-8.33,,0.35,7738.4,31-03-2016,976.01,2.67,19.72,0.54,9173.75,31-03-2017,2711.87,9.87,14.81,1.37,10113.7,28-03-2018,5120.79,6.08,23.6,1.53,11623.9,29-03-2019,3472.16,7.02,13.83,0.96,8597.75,31-03-2020,1670.31,0.56,73.91,0.4,14690.7,31-03-2021,5600.09,10.91,12.67,1.22,17464.75,31-03-2022,9252,24.78,9.2,1.67,17359.75,31-03-2023,16137.21,24.72,16.06,2.52
Vardhman Textiles Ltd.,5682.55,28-03-2013,16721.35,43.89,5.99,0.76,6704.2,31-03-2014,22485.03,102.19,3.46,0.79,8491,31-03-2015,34464.31,55.18,9.81,1.12,7738.4,31-03-2016,49234.73,105.26,7.35,1.33,9173.75,31-03-2017,75334.31,102.3,12.83,1.89,10113.7,28-03-2018,70195.17,35.51,34.42,1.6,11623.9,29-03-2019,62544.86,117.9,9.23,1.23,8597.75,31-03-2020,35952.1,93.27,6.7,0.63,14690.7,31-03-2021,74698.93,62.44,20.78,1.22,17464.75,31-03-2022,125944.73,57.69,7.56,1.67,17359.75,31-03-2023,84916.61,25.91,11.34,1.02
Varroc Engineering Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,78055.88,9.54,60.69,2.54,8597.75,31-03-2020,17208.69,7.55,16.9,1.51,14690.7,31-03-2021,55744.12,1.43,255.82,2.91,17464.75,31-03-2022,52825.9,1.55,222.52,2.72,17359.75,31-03-2023,38097.29,-4.3,,6.87
Varun Beverages Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,73867.71,7.92,51.13,3.41,10113.7,28-03-2018,114937.65,13,48.42,5,11623.9,29-03-2019,158294.94,18.43,47.02,6.11,8597.75,31-03-2020,152846.24,13.1,40.41,3.88,14690.7,31-03-2021,289540.35,12.09,82.99,7,17464.75,31-03-2022,407614.04,13.38,70.33,8.87,17359.75,31-03-2023,900936.99,23.7,58.53,15.29
Varun Shipping Co. Ltd. [Merged],5682.55,28-03-2013,1260.07,-10.99,,0.15,6704.2,31-03-2014,1072.56,-21.77,,0.3,8491,31-03-2015,585.03,-30.46,,,8375.05,29-07-2015,1477.58,-30.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasa Retail & Overseas Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,360.75,,,,11570,28-03-2019,135.13,2.19,10.32,1.38,8745.45,20-03-2020,37.45,2.37,2.64,0.34,14690.7,31-03-2021,32.66,-13.45,,1.03,17764.8,18-11-2021,32.66,-27.55,,,17107.5,21-03-2023,95.58,-5.24,,
Vascon Engineers Ltd.,5682.55,28-03-2013,2723.44,-4.75,,0.4,6704.2,31-03-2014,2083.22,-4.98,,0.33,8491,31-03-2015,1705.47,-16.39,,0.35,7738.4,31-03-2016,4016.54,-0.71,,0.67,9173.75,31-03-2017,6337.56,-0.64,,1.03,10113.7,28-03-2018,5790.05,-0.5,,0.93,11623.9,29-03-2019,2707.68,-0.09,,0.4,8597.75,31-03-2020,1309.3,2.09,3.52,0.18,14690.7,31-03-2021,3305.78,-2.29,,0.48,17464.75,31-03-2022,5063.49,1.3,17.9,0.63,17359.75,31-03-2023,5400.33,3.83,6.49,0.6
Vaswani Industries Ltd.,5682.55,28-03-2013,106.43,-4.66,,0.13,6704.2,31-03-2014,53.01,0.01,132.53,0.06,8491,31-03-2015,91.7,0.4,7.9,0.11,7738.4,31-03-2016,199.15,0.32,21.41,0.24,9173.75,31-03-2017,277.5,0.56,16.42,0.32,10113.7,28-03-2018,466.5,0.93,16.72,0.52,11623.9,29-03-2019,285,2.45,3.88,0.31,8597.75,31-03-2020,73.5,-0.87,,0.08,14690.7,31-03-2021,298.5,1.33,7.48,0.32,17464.75,31-03-2022,598.5,1.53,13.07,0.6,17359.75,31-03-2023,600,2,9.98,0.57
Vaxtex Cotfab Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8660.25,27-03-2020,120.47,0.63,31.7,1.4,14690.7,31-03-2021,264.73,0.3,147.07,2.98,17464.75,31-03-2022,1179.6,0.3,79.17,11.39,17359.75,31-03-2023,277.84,-0.03,,1.18
Vedant Fashions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,234681.75,11.73,82.47,21.65,17359.75,31-03-2023,276562.83,17.23,66.1,19.82
Vedanta Ltd.,5682.55,28-03-2013,135145.27,10.91,14.25,1.02,6704.2,31-03-2014,558989.37,-1.33,,1.66,8491,31-03-2015,561809.56,6.44,29.41,1.65,7738.4,31-03-2016,266377.78,45.18,1.99,0.34,9173.75,31-03-2017,815142.68,32.6,8.43,1.02,10113.7,28-03-2018,1032823.09,24.8,11.2,1.41,11623.9,29-03-2019,685636.92,17.54,10.52,0.89,8597.75,31-03-2020,240502.62,14.83,4.36,0.34,14690.7,31-03-2021,850308.73,27.99,8.17,1.11,17464.75,31-03-2022,1499332.23,42.06,9.59,1.93,17359.75,31-03-2023,1020185.28,61.55,4.46,1.5
Veekayem Fashion & Apparels Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,235.91,3.08,13.03,0.63
Venky'S (India) Ltd.,5682.55,28-03-2013,4711.27,21.03,23.85,1.45,6704.2,31-03-2014,4545.98,25.96,18.65,1.24,8491,31-03-2015,3121.28,15.92,20.88,0.84,7738.4,31-03-2016,4924.93,27.51,12.71,1.18,9173.75,31-03-2017,14328.23,94.21,10.8,2.7,10113.7,28-03-2018,54532.08,148.67,26.04,8.02,11623.9,29-03-2019,31940.92,149.14,15.2,3.74,8597.75,31-03-2020,11899.57,-19.61,,1.42,14690.7,31-03-2021,21914.26,189.96,8.19,1.98,17464.75,31-03-2022,30181.41,120.74,17.74,2.42,17359.75,31-03-2023,20254.77,50.16,28.67,1.56
Venus Pipes & Tubes Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,15140.9,21.78,34.25,4.6
