HP OMEN Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wind...,"16.1 inch, Mica Silver, 2.32 Kg, With MS Office",,,"₹72,990","₹87,716",16% off
ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/1 ...,"15.6 inch, Eclipse Gray, 2.10 kg",4.6,(40),"₹1,17,990","₹1,62,990",27% off
MSI Crosshair 15 Core i7 12th Gen - (16 GB/1 TB SSD/Win...,"15.6 Inch, Black, 2.3 Kg",,,"₹1,21,990","₹1,56,990",22% off
ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen - (32 GB...,"15.6 inch, Off Black, 2.30 kg, With MS Office",,,"₹2,25,990","₹2,75,990",18% off
ASUS TUF Gaming A17 (2022) Ryzen 7 Octa Core 6800H - (1...,"17.3 Inch, Jaeger Gray, 2.60 Kg, With MS Office",,,"₹1,02,990","₹1,41,990",27% off
HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/...,"15.6 inch, Shadow Black & Ultra Violet, 1.98 kg",4.4,(38),"₹69,990","₹81,869",14% off
ASUS Vivobook Gaming Core i7 10th Gen - (8 GB/512 GB SS...,"15.6 inch, Star Black, 2.14 kg",4.4,(52),"₹63,990","₹88,990",28% off
ASUS Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windo...,"14 Inch, Eclipse Gray, 1.60 Kg, With MS Office",,,"₹92,990","₹1,34,990",31% off
MSI Creator Z16 Core i9 11th Gen - (16 GB/1 TB SSD/Wind...,"16 inch, Lunar Gray, 2.2 kg",,,"₹1,63,990","₹2,57,990",36% off
ASUS TUF Gaming F17 (2022) Core i7 12th Gen - (16 GB/1 ...,"17.3 Inch, Jaeger Gray, 2.60 Kg, With MS Office",,,"₹1,15,990","₹1,47,990",21% off
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H - (16...,"15.6 Inch, Volt Green, 2.10 kg, With MS Office",4.5,(2),"₹1,04,990","₹1,45,990",28% off
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core 6800H - (16...,"15.6 inch, Eclipse Gray, 2.30 kg, With MS Office",,,"₹1,37,990","₹1,88,990",26% off
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/51...,"15.6 inch, Jaeger Gray, 2.20 kg",4,(6),"₹1,07,990","₹1,37,990",21% off
HP OMEN 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Wi...,"15.6 inch, Mica Silver, 2.37 Kg",4.8,(18),"₹1,41,990","₹1,83,736",22% off
ASUS Ryzen 7 Octa Core 5800HS - (16 GB/1 TB SSD/Windows...,"14 Inch, Eclipse Gray, 1.60 Kg, With MS Office",,,"₹97,990","₹1,49,990",34% off
HP OMEN Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windo...,"16.1 inch, Mica Silver, 2.32 Kg, With MS Office",,,"₹1,06,990","₹1,40,347",23% off
acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB...,"15.6 inch, Abyssal Black, 2.3 kg",4.5,(411),"₹1,12,990","₹1,40,990",19% off
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Window...,"15.6 inch, Black, 1.86 kg",4.5,"(4,321)","₹57,999","₹94,990",38% off
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 6900HS - (16 GB...,"15.6 inch, Moonlight White, 1.90 kg, With MS Office",,,"₹2,01,990","₹2,46,990",18% off
ASUS ROG Flow X16 Ryzen 9 Octa Core 6800HS - (32 GB/1 T...,"16 Inch, Eclipse Gray, 2.10 Kg, With MS Office",,,"₹2,61,990","₹3,11,990",16% off
ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (8 GB/512 ...,"15.6 inch, Eclipse Gray, 2.10 Kg",4.4,(180),"₹76,990",,
MSI GS66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 ...,"15.6 inch, Black, 2.1 Kg",,,"₹1,99,990","₹2,35,990",15% off
Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Wi...,"15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office",4.2,(33),"₹99,990","₹1,53,490",34% off
ASUS TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/512...,"17.3 inch, Gray Metal, 2.60 kg",4.5,(526),"₹63,590","₹81,990",22% off
Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/...,"16 inch, Stingray, With MS Office",4.6,(10),"₹1,44,990","₹2,24,490",35% off
ASUS ROG Zephyrus M16 Core i7 11th Gen - (16 GB/1 TB SS...,"16 inch, Off Black, 1.90 kg, With MS Office",4.2,(17),"₹1,54,990","₹2,20,990",29% off
DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 ...,"15.6 Inch, Obsidian Black, 2.57 kg, With MS Office",4.6,(5),"₹1,22,900","₹1,50,230",18% off
acer Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Hom...,"15.6 inch, Steel Gray, 1.8 Kg",4,(3),"₹62,990","₹79,990",21% off
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Ho...,"15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office",4.3,(6),"₹1,02,990","₹1,28,665",19% off
ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10...,"15.6 inch, Lunar Light, 2.5 kg, With MS Office",4.1,(13),"₹1,99,990","₹2,37,937",15% off
ASUS ROG Flow X16 Ryzen 7 Octa Core 6800HS - (16 GB/1 T...,"16 Inch, Eclipse Gray, 2.00 Kg, With MS Office",,,"₹1,71,990","₹2,06,990",16% off
ASUS Vivobook Gaming Core i5 10th Gen - (8 GB/1 TB HDD/...,"15.6 inch, Star Black, 2.14 kg",4.5,(122),"₹60,990","₹81,990",25% off
ASUS TUF Gaming F15 Core i9 11th Gen - (16 GB/1 TB SSD/...,"15.6 inch, Eclipse Gray, 2.30 kg, With MS Office",4.5,(2),"₹1,44,990","₹1,88,990",23% off
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 6900HS - (16 GB...,"15.6 inch, Eclipse Gray, 1.90 kg, With MS Office",,,"₹2,11,990","₹2,54,990",16% off
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB S...,"15.6 Inch, Charcoal Black, 2.15 kg",,,"₹56,990","₹89,990",36% off
ASUS ROG Zephyrus G14 Ryzen 7 Octa Core AMD Ryzen™ 7 58...,"14 inch, White, 1.6 kg, With MS Office",,,"₹84,990","₹1,22,990",30% off
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/51...,"17.3 inch, Graphite Black, 2.60 kg",4.4,(317),"₹79,990","₹1,06,990",25% off
DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 1...,"15.6 inch, Dark Shadow Grey, 2.4 Kg, With MS Office",4.5,(13),"₹1,00,990","₹1,14,359",11% off
ALIENWARE Core i7 10th Gen - (16 GB/512 GB SSD/Windows ...,"15.6 inch, Lunar Light, 2.5 kg, With MS Office",4.9,(12),"₹1,99,990","₹2,23,322",10% off
ASUS ROG Strix SCAR 17 (2022) Core i9 12th Gen - (32 GB...,"17.3 inch, Off Black, 2.90 kg, With MS Office",,,"₹2,59,990","₹3,11,990",16% off
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Wi...,"15.6 inch, Black, 2.25 kg",,,"₹97,990","₹1,23,990",20% off
DELL Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Window...,"15.6 Inch, Phantom Grey with speckles, 2.51 Kg, With MS Office",,,"₹87,990","₹1,12,802",21% off
ASUS ROG Zephyrus Duo 16 Ryzen 7 Octa Core 6800H - (32 ...,"16 Inch, Black, 2.50 kg, With MS Office",,,"₹2,51,990","₹2,99,990",16% off
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core - (16 GB/51...,"15.6 Inch, Electro Punk, 2.10 kg",,,"₹1,01,990","₹1,32,990",23% off
ASUS TUF Gaming F17 Core i5 11th Gen - (8 GB/512 GB SSD...,"17.3 inch, Graphite Black, 2.60 kg",4.5,(164),"₹71,990","₹1,15,990",37% off
acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB...,"15.6 Inch, Abyssal Black, 2.3 Kg",5,(6),"₹1,39,990","₹1,69,999",17% off
DELL G15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Win...,"15.6 Inch, Phantom Grey, 2.4 kg, With MS Office",4.6,(206),"₹71,990","₹1,01,185",28% off
acer Predator Helios 300 Core i7 12th Gen - (16 GB/1 TB...,"15.6 Inch, Abyssal Black, 2.6 KG",,,"₹1,74,990","₹1,94,999",10% off
