,name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta
204,Man Industries (India) Ltd.,MANINDS,Steel,17359.75,31-03-2023,5595.59,11.19,8.32,0.56,1.48
205,Man Infraconstruction Ltd.,MANINFRA,Construction,17359.75,31-03-2023,25319.28,4.49,15.2,2.23,1.44
206,Manaksia Ltd.,MANAKSIA,Non Ferrous Metals,17359.75,31-03-2023,7005.59,14.84,7.21,3.88,0.95
207,Manaksia Steels Ltd.,MANAKSTEEL,Steel,17359.75,31-03-2023,2326.46,1.92,18.51,0.83,1.44
208,Manali Petrochemicals Ltd.,MANALIPETC,Petrochemicals,17359.75,31-03-2023,10371.55,2.86,21.12,1.04,1.7
209,Manappuram Finance Ltd.,MANAPPURAM,Finance,17359.75,31-03-2023,104699.03,14.61,8.47,1.17,1.47
210,Mangalam Cement Ltd.,MANGALAM,Pharmaceuticals,17359.75,31-03-2023,7297.78,7.15,37.12,0.97,1.26
211,Mangalam Global Enterprise Ltd.,MGEL,Edible Oil,17359.75,31-03-2023,2009.06,0.86,16.83,1.57,0.27
212,Marathon Nextgen Realty Ltd.,MARATHON,Realty,17359.75,31-03-2023,12801.66,19.37,14.27,1.63,1.43
213,Marico Ltd.,MARICO,FMCG,17359.75,31-03-2023,620421.88,9.12,52.62,16.87,0.52
214,Marine Electricals (India) Ltd.,MARINE,Capital Goods - Electrical Equipment,17359.75,31-03-2023,4397.55,1.57,22.82,2.72,0.51
215,Marksans Pharma Ltd.,MARKSANS,Pharmaceuticals,17359.75,31-03-2023,31902.73,2.25,31.3,2.87,1.61
216,Maruti Suzuki India Ltd.,MARUTI,Automobile,17359.75,31-03-2023,2504893.17,266.77,31.08,4.15,1.16
217,Mask Investments Ltd.,MASKINVEST,Finance,17359.75,31-03-2023,133.5,0.2,222.51,0.14,0.15
218,Mastek Ltd.,MASTEK,IT - Software,17359.75,31-03-2023,47038.76,26.94,57.2,6.39,1.7
219,Mawana Sugars Ltd.,MAWANASUG,Sugar,17359.75,31-03-2023,3524.43,4.53,19.89,0.84,1.36
220,Max Financial Services Ltd.,MFSL,Finance,17359.75,31-03-2023,219147.88,0.2,3218.03,3.24,0.93
221,Mayur Uniquoters Ltd.,MAYURUNIQ,Plastic products,17359.75,31-03-2023,18462.29,22.86,18.38,2.44,1.16
222,Mazda Ltd.,MAZDA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2482.1,67.64,9.16,1.34,1.15
223,Megasoft Ltd.,MEGASOFT,IT - Software,17359.75,31-03-2023,1630.32,1.41,15.63,0.97,1.0
224,Menon Bearings Ltd.,MENONBE,Auto Ancillaries,17359.75,31-03-2023,5405.06,5.81,16.61,4.05,1.07
225,Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,17359.75,31-03-2023,63926.27,26.05,47.92,6.83,0.77
226,Minda Corporation Ltd.,MINDACORP,Auto Ancillaries,17359.75,31-03-2023,51437.94,11.1,19.39,3.73,1.62
227,Mindteck (India) Ltd.,MINDTECK,IT - Software,17359.75,31-03-2023,2614.94,5.66,18.29,1.8,1.48
228,Mirza International Ltd.,MIRZAINT,Leather,17359.75,31-03-2023,4816.34,1.65,21.14,1.06,1.37
229,Mishra Dhatu Nigam Ltd.,MIDHANI,Steel,17359.75,31-03-2023,34592.33,8.33,22.17,2.69,1.24
230,Mittal Life Style Ltd.,MITTAL,Textiles,17359.75,31-03-2023,285.58,0.19,51.0,0.92,0.85
231,Modi Rubber Ltd.,MODIRUBBER,Tyres,17359.75,31-03-2023,1406.03,3.45,16.27,0.39,0.49
