Cummins India Ltd.,2.25,2.98,2.02,0.98,1.67,1.55,1.9,2.96,2.1,1.59,1.29
Cupid Ltd.,0,0,0,0.68,1.36,1.16,2.39,1.82,2.08,2.12,2
Cybertech Systems & Software Ltd.,7.69,3.36,2.35,2.13,1.16,1.24,2.6,2.18,0.83,0.51,1.13
Cyient Ltd.,1.9,1.26,1.13,1.83,2.06,2.18,1.65,3.06,1.49,2.88,2.73
D B Realty Ltd.,0,0,0,0,0,0,0,0,0,0,0
D C M Shriram Ltd.,0.6,2.86,2.58,1.26,1.59,1.33,2.45,2.64,2.25,1.2,1.1
D L F Ltd.,0.72,1.46,1.18,2.07,1.48,0.8,1.21,0.77,0.78,0.51,0.84
D-Link (India) Ltd.,1.29,1.95,0.36,0.53,0.58,0.39,0.68,1.31,0.98,1.12,1.44
Dabur India Ltd.,1.06,0.93,0.88,0.8,0.81,0.63,1.69,0.58,0.65,1.02,0.93
Dalmia Bharat Ltd.,,,,,,,0,0.23,0.17,0.3,0.51
Data Patterns (India) Ltd.,,,,,,,,,,0,0.25
Datamatics Global Services Ltd.,2.38,2.01,2.01,1.07,0.54,0.56,0.74,1.3,0,0.83,0.42
De Nora India Ltd.,2.62,5.69,2.85,0.42,1.63,0.53,0.42,0,0,0.22,0.13
Deccan Cements Ltd.,1.25,1.38,0.31,0.41,0.49,0.52,0.78,1.19,1.13,0.82,1.06
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,4.88,5.04,4.58,2.68,2.01,1.51,5.13,2.7,1.92,1.32,1.39
Deepak Nitrite Ltd.,2.33,2.62,2.42,1.52,1.12,0.43,0.59,0.52,0.46,0.25,0.37
Delhivery Ltd.,,,,,,,,,,,0
Delta Corp Ltd.,0.47,0.24,0.28,0.13,0.16,0.1,0.69,0.78,0.51,0.36,0.64
Den Networks Ltd.,0,0,0,0,0,0,0,0,0,0,0
Dev Information Technology Ltd.,,,,,,,,,,,0.24
Devyani International Ltd.,,,,,,,,,,0,0
Dhampur Sugar Mills Ltd.,2.7,4.31,0,0,0,3.16,1.79,3.17,3.73,1.59,2.67
Dhanlaxmi Bank Ltd.,0,0,0,0,0,0,0,0,0,0,0
Dhanuka Agritech Ltd.,1.76,1.48,0.79,0.84,0.94,0.08,1.31,0.12,1.63,0.26,2.06
Dhunseri Investments Ltd.,2.19,2.33,1.12,1.07,0.88,0.35,0.53,0.64,0.64,0.37,0.37
Dhunseri Ventures Ltd.,4.23,4.4,6.61,5.22,4.99,1.33,3.66,5.74,0.73,0.88,1.64
Divi'S Laboratories Ltd.,1.24,1.14,1.15,0.88,1.43,0.96,0.66,0.82,0.47,0.5,0.9
Dixon Technologies (India) Ltd.,,,,,,0,0.09,0.04,0.03,0.02,0.07
Dollar Industries Ltd.,,,,,,,0.57,1.14,0.76,0.39,0.74
Donear Industries Ltd.,1.22,1.9,1.18,0.65,0.35,0.29,0.55,0.67,0.59,0.28,0.2
Dr. Lal Pathlabs Ltd.,,,,0,0.22,0.5,0.51,0.54,0.53,0.67,0.57
Dr. Reddy'S Laboratories Ltd.,0.72,0.58,0.56,0.64,0.66,0.9,0.73,0.64,0.54,0.58,0.69
Ducon Infratechnologies Ltd.,0,0,0,0,0,0,0,0,0,0,0
Dynacons Systems & Solutions Ltd.,0,0,0,0,0,0,0,1.98,0.87,0.22,0.1
Dynamatic Technologies Ltd.,0.58,0,0,0,0,0,0.15,0,0,0,0.12
E I D-Parry (India) Ltd.,2.24,4.76,0,1.63,0,1.22,1.48,1.3,0,1.13,2.03
E I H Ltd.,1.58,1.59,0.98,0.94,1.11,0.47,0.45,0.64,0,0,0
E P L Ltd.,1.79,1.47,1.04,0.99,0.91,0.84,1.11,1.38,1.68,2.22,2.76
Easy Trip Planners Ltd.,,,,,,,,,,0.54,0
Eclerx Services Ltd.,2.78,2.05,2.71,1.86,0.07,0.07,0.09,0.16,0.1,0.04,0.05
Edelweiss Financial Services Ltd.,1.8,2.39,1.01,1.91,1.13,0.46,0.88,1.47,0,2.07,2.18
Eicher Motors Ltd.,0.57,0.43,0.18,0.3,0.43,0.37,0.58,0.62,0.46,0.64,0.64
Eimco Elecon (India) Ltd.,2.19,2.74,0.94,1.16,1.28,1,1.34,2.16,1.5,1.41,0.64
Electrosteel Castings Ltd.,1.95,3.81,3.94,2.93,1.85,1.47,1.42,0,1.4,0.63,2.16
Elgi Equipments Ltd.,1.02,1.13,0.62,0.8,0.53,0.32,0.5,0.51,0.52,0.24,0.3
Emami Ltd.,1.37,1.83,0.87,0.3,0.68,0.62,0.85,2.04,1.24,1.6,1.81
Emami Paper Mills Ltd.,1.93,2.59,1.33,1.31,0.49,0.61,0.75,1.02,0,0,1.07
