Godrej Properties Ltd.,2.37,19.93,20.94,6.88,4.24,23.49,4.95,10.34,51.37,95.39,11.01
Gokaldas Exports Ltd.,0.01,0.03,0.54,0.97,3.07,3.11,0.38,0.39,1.97,19.97,2.16
Goldiam International Ltd.,0.02,0.02,0.1,0.28,0.3,0.36,0.04,1.29,0.48,2.44,10.58
Granules India Ltd.,2.62,8.32,20.95,23.99,14.21,18.74,12.05,7.06,27.83,24.69,5.02
Graphite India Ltd.,3.13,0.52,4.81,0.38,4.63,239.7,185,30.38,11.68,18.75,6.94
Grasim Industries Ltd.,51.02,267.61,17.12,10.71,101.32,30.14,42.78,45.1,118.76,26.55,13.99
Gravita India Ltd.,22.98,13.54,0.37,0.33,2.54,15.08,0.1,0.95,3.3,18.85,16.52
Great Eastern Shipping Co. Ltd.,0.74,4.45,5.79,0.9,2.81,4.46,1.24,0.94,7.25,3.84,4.84
Greaves Cotton Ltd.,12.93,0.52,4.61,1.1,7.67,12.03,5.67,1.67,11.43,33.99,8
Greenpanel Industries Ltd.,,,,,,,,0.5,1.93,27.75,19.01
Greenply Industries Ltd.,0.54,0.17,0.01,0.5,0.19,0.93,0.67,0.07,3.34,4.99,1.01
Grindwell Norton Ltd.,0,0.02,3.05,0.28,0.2,1.82,0.33,1.53,1.89,2.21,14.01
Gufic Biosciences Ltd.,0.13,0.01,0.21,3.51,30.78,6.9,0.23,0.9,0.95,13.62,2.12
Gujarat Alkalies & Chemicals Ltd.,6.77,3.41,4.93,0.29,19.58,8.25,2.94,0.91,5.58,19.35,2.41
Gujarat Ambuja Exports Ltd.,0.8,0.21,0.44,0.52,1.85,16.41,2.56,1.64,5.06,61.98,11.6
Gujarat Fluorochemicals Ltd.,,,,,,,,0,1.58,57.34,25.39
Gujarat Gas Ltd.,,,,12.04,6.96,3.11,0.52,10.45,11.92,10.42,7.79
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,2.97,1.05,0.68,4.99,38.43,110.27,38.11,5.62,21.41,74.55,30.27
Gujarat Pipavav Port Ltd.,0.22,1.28,43.91,21.98,3.54,5.02,70.6,0.35,2.59,4.35,8.66
Gujarat State Fertilizers & Chemicals Ltd.,3.84,0.88,38.84,5.13,24.62,50.34,14.64,9.86,6.41,18.72,36.46
Gujarat State Petronet Ltd.,5.23,2.44,43.58,3.53,5.6,7.03,3.71,6.45,10.34,32.66,3.43
Gulf Oil Lubricants India Ltd.,,,9.2,1.03,0.45,0.59,0.43,0.06,0.93,3.01,1.01
Gulshan Polyols Ltd.,0.12,0.08,0.31,0.47,0.31,1.15,0,0.03,2.59,8.52,0.62
H C L Technologies Ltd.,85.43,69.3,543.02,42.48,164.93,575.53,93.38,21.61,305.76,234.68,145.82
H D F C Asset Mgmt. Co. Ltd.,,,,,,,16.26,46.7,36.88,49.43,51.55
H D F C Bank Ltd.,334.83,236.74,230.1,44.47,95.47,429.12,209.21,126.53,364.61,273.84,276.97
H D F C Life Insurance Co. Ltd.,,,,,,409.61,16.26,32.38,357.32,33.85,17.83
H E G Ltd.,0.2,0.21,2.91,1.17,0.11,190.92,196.87,15.81,15.05,14.09,14.11
H F C L Ltd.,1.92,1.98,24,40.42,10.2,48.96,15.55,3.62,32.68,178.77,48.63
H L E Glascoat Ltd.,0.08,0.03,0.59,0.97,2.45,0.32,0.25,4.78,4.99,4.34,2.02
Happiest Minds Technologies Ltd.,,,,,,,,,29.91,86.99,24.75
Harrisons Malayalam Ltd.,0.68,0.2,0.5,2.83,2.07,0.9,3.78,1.14,0.68,1.53,0.24
Hathway Cable & Datacom Ltd.,7.04,0.47,6.1,0.33,0.46,12.25,0.72,0.41,1.56,16.23,5.97
Hatsun Agro Product Ltd.,2.08,9.97,0.93,0.03,1.01,1.39,0.43,0.49,2.49,2.1,0.61
Havells India Ltd.,9.92,11.46,57.62,22.97,45.74,12176.28,40.65,83.72,1196.66,42.61,16.03
Heidelberg Cement India Ltd.,1.95,0.86,8.11,18.4,1.61,9.68,1.78,3.97,10.73,2.24,2.66
Hercules Hoists Ltd.,0.43,1.51,1.62,0.17,3.77,0.4,0.17,0.07,0.25,1.12,1.13
Hero Motocorp Ltd.,68.44,87.26,76.16,64.79,40.29,82.79,96.23,32.37,165.89,23.02,30.11
Hester Biosciences Ltd.,0.12,0.48,0.85,0.97,0.31,4.58,0.97,0.14,0.59,5.95,2
Hi-Tech Pipes Ltd.,,,,,,,,,,0.18,2.93
Hikal Ltd.,0.25,1.96,11.1,2.2,1.91,0.96,5.91,3.38,2.26,28.04,10.32
Hindalco Industries Ltd.,139.79,47.33,175.85,100.9,147.63,262.95,53.59,36.03,261.84,90.8,49.07
